country,year,sex,age,suicides_no,population,gdp_for_year_usd
Albania,1987,male,15-24 years,21,312900,2156624900
Albania,1987,male,35-54 years,16,308000,2156624900
Albania,1987,female,15-24 years,14,289700,2156624900
Albania,1987,male,75+ years,1,21800,2156624900
Albania,1987,male,25-34 years,9,274300,2156624900
Albania,1987,female,75+ years,1,35600,2156624900
Albania,1987,female,35-54 years,6,278800,2156624900
Albania,1987,female,25-34 years,4,257200,2156624900
Albania,1987,male,55-74 years,1,137500,2156624900
Albania,1988,female,75+ years,2,36400,2126000000
Albania,1988,male,15-24 years,17,319200,2126000000
Albania,1988,male,75+ years,1,22300,2126000000
Albania,1988,male,35-54 years,14,314100,2126000000
Albania,1988,male,55-74 years,4,140200,2126000000
Albania,1988,female,15-24 years,8,295600,2126000000
Albania,1988,female,55-74 years,3,147500,2126000000
Albania,1988,female,25-34 years,5,262400,2126000000
Albania,1988,male,25-34 years,5,279900,2126000000
Albania,1988,female,35-54 years,4,284500,2126000000
Albania,1989,male,75+ years,2,22500,2335124988
Albania,1989,male,25-34 years,18,283600,2335124988
Albania,1989,male,35-54 years,15,318400,2335124988
Albania,1989,male,55-74 years,6,142100,2335124988
Albania,1989,male,15-24 years,12,323500,2335124988
Albania,1989,female,35-54 years,7,288600,2335124988
Albania,1989,female,15-24 years,5,299900,2335124988
Albania,1989,female,25-34 years,2,266300,2335124988
Albania,1989,female,55-74 years,1,149600,2335124988
Albania,1992,male,35-54 years,12,343800,709452584
Albania,1992,male,15-24 years,9,263700,709452584
Albania,1992,male,55-74 years,5,159500,709452584
Albania,1992,male,25-34 years,7,245500,709452584
Albania,1992,female,15-24 years,7,292400,709452584
Albania,1992,female,25-34 years,4,267400,709452584
Albania,1992,female,35-54 years,2,323100,709452584
Albania,1992,female,55-74 years,1,164900,709452584
Albania,1993,male,15-24 years,18,243300,1228071038
Albania,1993,male,55-74 years,7,165000,1228071038
Albania,1993,male,75+ years,1,24200,1228071038
Albania,1993,male,25-34 years,9,230100,1228071038
Albania,1993,female,15-24 years,1,285300,1228071038
Albania,1993,male,35-54 years,1,350300,1228071038
Albania,1993,female,25-34 years,7,261800,1228071038
Albania,1993,female,35-54 years,7,331200,1228071038
Albania,1993,female,55-74 years,2,169500,1228071038
Albania,1993,female,5-14 years,1,340300,1228071038
Albania,1993,male,5-14 years,1,367000,1228071038
Albania,1994,male,75+ years,2,24600,1985673798
Albania,1994,male,55-74 years,11,171400,1985673798
Albania,1994,female,75+ years,2,39900,1985673798
Albania,1994,male,25-34 years,6,231400,1985673798
Albania,1994,male,35-54 years,9,362800,1985673798
Albania,1994,male,15-24 years,6,242200,1985673798
Albania,1994,female,15-24 years,6,282600,1985673798
Albania,1994,female,25-34 years,4,261100,1985673798
Albania,1994,female,35-54 years,2,342500,1985673798
Albania,1994,female,55-74 years,1,174600,1985673798
Albania,1994,male,5-14 years,1,371800,1985673798
Albania,1995,male,25-34 years,13,232900,2424499009
Albania,1995,male,55-74 years,9,178000,2424499009
Albania,1995,female,75+ years,2,40800,2424499009
Albania,1995,female,15-24 years,13,283500,2424499009
Albania,1995,male,15-24 years,11,241200,2424499009
Albania,1995,male,75+ years,1,25100,2424499009
Albania,1995,male,35-54 years,14,375900,2424499009
Albania,1995,female,25-34 years,7,264000,2424499009
Albania,1995,female,35-54 years,8,356400,2424499009
Albania,1995,male,5-14 years,6,376500,2424499009
Albania,1995,female,55-74 years,2,180400,2424499009
Albania,1995,female,5-14 years,2,348700,2424499009
Albania,1996,male,75+ years,2,25400,3314898292
Albania,1996,male,15-24 years,17,243600,3314898292
Albania,1996,male,25-34 years,14,235300,3314898292
Albania,1996,female,15-24 years,16,287700,3314898292
Albania,1996,female,75+ years,2,41200,3314898292
Albania,1996,female,25-34 years,1,267900,3314898292
Albania,1996,male,35-54 years,12,379600,3314898292
Albania,1996,female,35-54 years,9,362000,3314898292
Albania,1996,male,55-74 years,3,179900,3314898292
Albania,1996,female,55-74 years,1,183100,3314898292
Albania,1996,male,5-14 years,2,380400,3314898292
Albania,1996,female,5-14 years,1,354100,3314898292
Albania,1997,male,25-34 years,36,236000,2359903108
Albania,1997,male,15-24 years,33,244400,2359903108
Albania,1997,male,75+ years,3,25400,2359903108
Albania,1997,male,35-54 years,3,380800,2359903108
Albania,1997,female,15-24 years,21,294000,2359903108
Albania,1997,male,55-74 years,12,180300,2359903108
Albania,1997,female,25-34 years,16,273900,2359903108
Albania,1997,female,75+ years,2,42100,2359903108
Albania,1997,female,35-54 years,7,370100,2359903108
Albania,1997,female,5-14 years,6,361800,2359903108
Albania,1997,male,5-14 years,4,381500,2359903108
Albania,1998,male,75+ years,3,25800,2707123772
Albania,1998,male,15-24 years,27,248800,2707123772
Albania,1998,female,15-24 years,32,295600,2707123772
Albania,1998,male,25-34 years,26,240400,2707123772
Albania,1998,male,35-54 years,29,388200,2707123772
Albania,1998,male,55-74 years,9,183800,2707123772
Albania,1998,female,25-34 years,1,275300,2707123772
Albania,1998,female,55-74 years,6,188200,2707123772
Albania,1998,female,35-54 years,9,372100,2707123772
Albania,1998,male,5-14 years,2,388400,2707123772
Albania,1998,female,5-14 years,1,363800,2707123772
Albania,1999,male,75+ years,3,25900,3414760915
Albania,1999,male,15-24 years,24,250600,3414760915
Albania,1999,female,75+ years,4,42400,3414760915
Albania,1999,male,35-54 years,31,391100,3414760915
Albania,1999,male,25-34 years,19,242300,3414760915
Albania,1999,male,55-74 years,14,185200,3414760915
Albania,1999,female,15-24 years,19,296800,3414760915
Albania,1999,female,25-34 years,13,276500,3414760915
Albania,1999,female,55-74 years,6,188800,3414760915
Albania,1999,female,35-54 years,5,373600,3414760915
Albania,1999,female,5-14 years,1,365200,3414760915
Albania,2000,male,25-34 years,17,232000,3632043908
Albania,2000,male,55-74 years,1,177400,3632043908
Albania,2000,female,75+ years,2,37800,3632043908
Albania,2000,male,75+ years,1,24900,3632043908
Albania,2000,female,15-24 years,6,263900,3632043908
Albania,2000,male,15-24 years,5,240000,3632043908
Albania,2000,female,35-54 years,5,332200,3632043908
Albania,2000,female,25-34 years,3,245800,3632043908
Albania,2000,male,35-54 years,4,374700,3632043908
Albania,2000,male,5-14 years,1,374900,3632043908
Albania,2001,male,25-34 years,22,206484,4060758804
Albania,2001,male,35-54 years,34,378826,4060758804
Albania,2001,male,55-74 years,11,196670,4060758804
Albania,2001,female,75+ years,2,47254,4060758804
Albania,2001,male,15-24 years,1,256039,4060758804
Albania,2001,female,15-24 years,9,271359,4060758804
Albania,2001,female,35-54 years,12,370191,4060758804
Albania,2001,male,75+ years,1,31044,4060758804
Albania,2001,female,55-74 years,6,189799,4060758804
Albania,2001,male,5-14 years,6,321556,4060758804
Albania,2001,female,25-34 years,4,222771,4060758804
Albania,2001,female,5-14 years,2,307356,4060758804
Albania,2002,male,75+ years,4,31007,4435078648
Albania,2002,male,25-34 years,23,206286,4435078648
Albania,2002,male,35-54 years,35,382139,4435078648
Albania,2002,male,55-74 years,13,198130,4435078648
Albania,2002,male,15-24 years,15,263067,4435078648
Albania,2002,female,15-24 years,14,275970,4435078648
Albania,2002,female,35-54 years,15,375113,4435078648
Albania,2002,female,25-34 years,7,223685,4435078648
Albania,2002,female,75+ years,1,47407,4435078648
Albania,2002,female,55-74 years,4,191712,4435078648
Albania,2002,female,5-14 years,1,304850,4435078648
Albania,2002,male,5-14 years,1,319473,4435078648
Albania,2003,female,75+ years,6,49088,5746945913
Albania,2003,male,55-74 years,16,201520,5746945913
Albania,2003,male,35-54 years,28,386196,5746945913
Albania,2003,male,15-24 years,15,273235,5746945913
Albania,2003,female,15-24 years,14,283709,5746945913
Albania,2003,female,55-74 years,9,195699,5746945913
Albania,2003,male,25-34 years,9,205433,5746945913
Albania,2003,female,25-34 years,9,222941,5746945913
Albania,2003,female,35-54 years,13,381760,5746945913
Albania,2003,male,75+ years,1,32667,5746945913
Albania,2003,male,5-14 years,4,313204,5746945913
Albania,2004,male,75+ years,4,35526,7314865176
Albania,2004,male,35-54 years,39,391767,7314865176
Albania,2004,male,25-34 years,16,203938,7314865176
Albania,2004,female,15-24 years,2,292268,7314865176
Albania,2004,male,15-24 years,19,286768,7314865176
Albania,2004,female,75+ years,3,50970,7314865176
Albania,2004,female,25-34 years,11,222389,7314865176
Albania,2004,male,55-74 years,1,207202,7314865176
Albania,2004,female,35-54 years,17,391436,7314865176
Albania,2004,female,55-74 years,3,203841,7314865176
Albania,2004,female,5-14 years,3,286705,7314865176
Albania,2004,male,5-14 years,1,302181,7314865176
Albania,2007,male,75+ years,8,42366,10701011897
Albania,2007,male,35-54 years,29,378626,10701011897
Albania,2007,male,55-74 years,14,224160,10701011897
Albania,2007,female,75+ years,3,57404,10701011897
Albania,2007,male,25-34 years,9,172494,10701011897
Albania,2007,female,15-24 years,13,281080,10701011897
Albania,2007,male,15-24 years,13,288349,10701011897
Albania,2007,female,25-34 years,8,183629,10701011897
Albania,2007,female,55-74 years,9,221120,10701011897
Albania,2007,female,35-54 years,14,391811,10701011897
Albania,2007,male,5-14 years,4,272497,10701011897
Albania,2008,male,25-34 years,21,172855,12881352688
Albania,2008,male,35-54 years,37,377119,12881352688
Albania,2008,male,55-74 years,21,228672,12881352688
Albania,2008,female,75+ years,5,59369,12881352688
Albania,2008,female,15-24 years,2,276073,12881352688
Albania,2008,female,25-34 years,9,182663,12881352688
Albania,2008,female,35-54 years,19,393832,12881352688
Albania,2008,male,75+ years,2,44574,12881352688
Albania,2008,male,15-24 years,11,286702,12881352688
Albania,2008,female,55-74 years,7,226448,12881352688
Albania,2008,male,5-14 years,7,262464,12881352688
Albania,2008,female,5-14 years,1,246288,12881352688
Albania,2010,male,55-74 years,2,241852,11926953259
Albania,2010,male,35-54 years,2,371611,11926953259
Albania,2010,male,25-34 years,9,179720,11926953259
Albania,2010,male,75+ years,2,50767,11926953259
Albania,2010,male,15-24 years,1,279508,11926953259
Albania,2010,female,25-34 years,6,183579,11926953259
Albania,2010,female,75+ years,2,64415,11926953259
Albania,2010,female,35-54 years,12,394593,11926953259
Albania,2010,female,55-74 years,7,241491,11926953259
Albania,2010,female,15-24 years,6,263581,11926953259
Albania,2010,female,5-14 years,2,223969,11926953259
Antigua and Barbuda,1990,male,35-54 years,1,5799,459469074
Antigua and Barbuda,1993,male,25-34 years,1,6668,535172778
Antigua and Barbuda,1994,male,15-24 years,0,5976,589429593
Antigua and Barbuda,1995,female,55-74 years,0,3808,577280741
Antigua and Barbuda,1998,female,75+ years,0,1476,727860593
Antigua and Barbuda,2000,male,55-74 years,1,3333,830158778
Antigua and Barbuda,2000,male,35-54 years,1,10033,830158778
Antigua and Barbuda,2001,male,35-54 years,2,10281,800740259
Antigua and Barbuda,2003,male,55-74 years,1,3594,855643111
Antigua and Barbuda,2004,male,55-74 years,1,3665,919577148
Antigua and Barbuda,2004,male,35-54 years,1,11406,919577148
Antigua and Barbuda,2007,male,35-54 years,1,12530,1311401333
Antigua and Barbuda,2013,male,15-24 years,0,8061,1192925407
Antigua and Barbuda,2015,female,55-74 years,1,6403,1364863037
Argentina,1985,male,75+ years,22,363000,88416668900
Argentina,1985,male,55-74 years,485,1997000,88416668900
Argentina,1985,male,35-54 years,414,3346300,88416668900
Argentina,1985,female,55-74 years,21,2304000,88416668900
Argentina,1985,male,25-34 years,177,2234200,88416668900
Argentina,1985,female,75+ years,41,537000,88416668900
Argentina,1985,male,15-24 years,156,2415200,88416668900
Argentina,1985,female,35-54 years,142,3355300,88416668900
Argentina,1985,female,25-34 years,65,2185200,88416668900
Argentina,1985,female,15-24 years,69,2354200,88416668900
Argentina,1985,male,5-14 years,16,3044200,88416668900
Argentina,1985,female,5-14 years,11,2955200,88416668900
Argentina,1986,male,75+ years,23,365000,110934442763
Argentina,1986,male,55-74 years,53,2008300,110934442763
Argentina,1986,male,35-54 years,478,3365200,110934442763
Argentina,1986,male,25-34 years,29,2246900,110934442763
Argentina,1986,female,75+ years,48,540200,110934442763
Argentina,1986,female,55-74 years,21,2317100,110934442763
Argentina,1986,male,15-24 years,186,2428900,110934442763
Argentina,1986,female,35-54 years,188,3374300,110934442763
Argentina,1986,female,25-34 years,96,2197600,110934442763
Argentina,1986,female,15-24 years,11,2367600,110934442763
Argentina,1986,male,5-14 years,1,3061400,110934442763
Argentina,1986,female,5-14 years,7,2971900,110934442763
Argentina,1987,male,75+ years,2,369800,111106191358
Argentina,1987,male,55-74 years,532,2034500,111106191358
Argentina,1987,male,35-54 years,482,3409100,111106191358
Argentina,1987,female,75+ years,57,547000,111106191358
Argentina,1987,female,55-74 years,224,2347300,111106191358
Argentina,1987,male,25-34 years,192,2276200,111106191358
Argentina,1987,male,15-24 years,179,2460600,111106191358
Argentina,1987,female,35-54 years,29,3418300,111106191358
Argentina,1987,female,25-34 years,89,2226200,111106191358
Argentina,1987,female,15-24 years,93,2398400,111106191358
Argentina,1987,male,5-14 years,15,3101300,111106191358
Argentina,1987,female,5-14 years,14,3010700,111106191358
Argentina,1988,male,75+ years,216,392000,126206817196
Argentina,1988,male,55-74 years,55,2079000,126206817196
Argentina,1988,male,35-54 years,477,3503000,126206817196
Argentina,1988,female,75+ years,61,602000,126206817196
Argentina,1988,female,55-74 years,233,2412000,126206817196
Argentina,1988,male,25-34 years,215,2276000,126206817196
Argentina,1988,male,15-24 years,211,2524000,126206817196
Argentina,1988,female,35-54 years,198,3508000,126206817196
Argentina,1988,female,15-24 years,11,2459000,126206817196
Argentina,1988,female,25-34 years,61,2228000,126206817196
Argentina,1988,male,5-14 years,2,3210000,126206817196
Argentina,1988,female,5-14 years,11,3115000,126206817196
Argentina,1989,male,75+ years,28,400000,76636898036
Argentina,1989,male,55-74 years,548,2105000,76636898036
Argentina,1989,male,35-54 years,462,3561000,76636898036
Argentina,1989,female,75+ years,65,622000,76636898036
Argentina,1989,male,25-34 years,219,2287000,76636898036
Argentina,1989,female,55-74 years,21,2446000,76636898036
Argentina,1989,male,15-24 years,186,2575000,76636898036
Argentina,1989,female,35-54 years,166,3563000,76636898036
Argentina,1989,female,25-34 years,83,2240000,76636898036
Argentina,1989,female,15-24 years,8,2509000,76636898036
Argentina,1989,male,5-14 years,18,3245000,76636898036
Argentina,1989,female,5-14 years,11,3149000,76636898036
Argentina,1990,male,75+ years,226,411100,141352368715
Argentina,1990,male,55-74 years,52,2128000,141352368715
Argentina,1990,male,35-54 years,439,3619000,141352368715
Argentina,1990,female,75+ years,61,643000,141352368715
Argentina,1990,male,25-34 years,182,2297000,141352368715
Argentina,1990,female,55-74 years,19,2477000,141352368715
Argentina,1990,male,15-24 years,174,2635000,141352368715
Argentina,1990,female,35-54 years,163,3622000,141352368715
Argentina,1990,female,15-24 years,91,2568000,141352368715
Argentina,1990,female,25-34 years,76,2251000,141352368715
Argentina,1990,male,5-14 years,22,3269000,141352368715
Argentina,1990,female,5-14 years,14,3171000,141352368715
Argentina,1991,male,75+ years,184,396000,189719984268
Argentina,1991,male,55-74 years,449,2130000,189719984268
Argentina,1991,male,35-54 years,398,3580000,189719984268
Argentina,1991,male,25-34 years,214,2277000,189719984268
Argentina,1991,female,75+ years,5,658000,189719984268
Argentina,1991,female,55-74 years,169,2508000,189719984268
Argentina,1991,male,15-24 years,179,2738000,189719984268
Argentina,1991,female,35-54 years,133,3691000,189719984268
Argentina,1991,female,25-34 years,77,2310000,189719984268
Argentina,1991,female,15-24 years,61,2689000,189719984268
Argentina,1991,male,5-14 years,28,3369000,189719984268
Argentina,1991,female,5-14 years,9,3277000,189719984268
Argentina,1992,male,75+ years,194,404900,228788617202
Argentina,1992,male,55-74 years,5,2150500,228788617202
Argentina,1992,male,35-54 years,488,3616600,228788617202
Argentina,1992,male,25-34 years,227,2306200,228788617202
Argentina,1992,male,15-24 years,249,2834100,228788617202
Argentina,1992,female,75+ years,46,678000,228788617202
Argentina,1992,female,55-74 years,147,2538400,228788617202
Argentina,1992,female,35-54 years,14,3755500,228788617202
Argentina,1992,female,25-34 years,79,2329100,228788617202
Argentina,1992,female,15-24 years,79,2783500,228788617202
Argentina,1992,male,5-14 years,22,3371800,228788617202
Argentina,1992,female,5-14 years,13,3276800,228788617202
Argentina,1993,male,75+ years,229,413600,236741715015
Argentina,1993,male,55-74 years,52,2171500,236741715015
Argentina,1993,male,35-54 years,495,3672300,236741715015
Argentina,1993,male,25-34 years,233,2336300,236741715015
Argentina,1993,female,75+ years,58,698400,236741715015
Argentina,1993,male,15-24 years,235,2932300,236741715015
Argentina,1993,female,55-74 years,126,2568300,236741715015
Argentina,1993,female,35-54 years,144,3820400,236741715015
Argentina,1993,female,25-34 years,76,2347800,236741715015
Argentina,1993,female,15-24 years,73,2879300,236741715015
Argentina,1993,male,5-14 years,25,3367500,236741715015
Argentina,1993,female,5-14 years,16,3269800,236741715015
Argentina,1994,male,75+ years,192,423100,257440000000
Argentina,1994,male,55-74 years,59,2192500,257440000000
Argentina,1994,male,35-54 years,527,3729600,257440000000
Argentina,1994,male,25-34 years,226,2369000,257440000000
Argentina,1994,male,15-24 years,25,3027200,257440000000
Argentina,1994,female,55-74 years,135,2597400,257440000000
Argentina,1994,female,75+ years,34,719700,257440000000
Argentina,1994,female,35-54 years,16,3885600,257440000000
Argentina,1994,female,15-24 years,98,2971300,257440000000
Argentina,1994,female,25-34 years,72,2369900,257440000000
Argentina,1994,male,5-14 years,27,3363000,257440000000
Argentina,1994,female,5-14 years,11,3262900,257440000000
Argentina,1995,male,75+ years,19,433800,258031750000
Argentina,1995,male,55-74 years,515,2214000,258031750000
Argentina,1995,male,35-54 years,485,3787800,258031750000
Argentina,1995,male,25-34 years,218,2404900,258031750000
Argentina,1995,male,15-24 years,277,3112100,258031750000
Argentina,1995,female,75+ years,49,742200,258031750000
Argentina,1995,female,55-74 years,134,2625900,258031750000
Argentina,1995,female,35-54 years,139,3950100,258031750000
Argentina,1995,female,15-24 years,11,3053300,258031750000
Argentina,1995,female,25-34 years,62,2396900,258031750000
Argentina,1995,female,5-14 years,19,3261100,258031750000
Argentina,1995,male,5-14 years,15,3363300,258031750000
Argentina,1996,male,75+ years,189,445800,272149750000
Argentina,1996,male,55-74 years,464,2235900,272149750000
Argentina,1996,male,35-54 years,524,3847300,272149750000
Argentina,1996,male,25-34 years,226,2442900,272149750000
Argentina,1996,male,15-24 years,28,3185600,272149750000
Argentina,1996,female,75+ years,59,766100,272149750000
Argentina,1996,female,55-74 years,131,2653800,272149750000
Argentina,1996,female,35-54 years,176,4014100,272149750000
Argentina,1996,female,15-24 years,15,3123600,272149750000
Argentina,1996,female,25-34 years,52,2428400,272149750000
Argentina,1996,male,5-14 years,14,3370400,272149750000
Argentina,1996,female,5-14 years,9,3266800,272149750000
Argentina,1997,male,75+ years,195,490152,292859000000
Argentina,1997,male,55-74 years,457,2252148,292859000000
Argentina,1997,male,35-54 years,51,3934581,292859000000
Argentina,1997,male,25-34 years,213,2460112,292859000000
Argentina,1997,male,15-24 years,26,3198193,292859000000
Argentina,1997,female,75+ years,47,854095,292859000000
Argentina,1997,female,55-74 years,131,2668528,292859000000
Argentina,1997,female,35-54 years,165,4083427,292859000000
Argentina,1997,female,15-24 years,113,3161000,292859000000
Argentina,1997,female,25-34 years,72,2474330,292859000000
Argentina,1997,male,5-14 years,19,3429860,292859000000
Argentina,1997,female,5-14 years,11,3327355,292859000000
Argentina,1998,male,75+ years,21,504164,298948250000
Argentina,1998,male,55-74 years,518,2274972,298948250000
Argentina,1998,male,35-54 years,58,3990829,298948250000
Argentina,1998,male,15-24 years,327,3243944,298948250000
Argentina,1998,male,25-34 years,251,2497189,298948250000
Argentina,1998,female,75+ years,53,883724,298948250000
Argentina,1998,female,55-74 years,14,2696429,298948250000
Argentina,1998,female,15-24 years,114,3200362,298948250000
Argentina,1998,female,35-54 years,147,4143203,298948250000
Argentina,1998,female,25-34 years,52,2512005,298948250000
Argentina,1998,female,5-14 years,2,3353473,298948250000
Argentina,1998,male,5-14 years,16,3456965,298948250000
Argentina,1999,male,75+ years,24,515800,283523000000
Argentina,1999,male,55-74 years,54,2301840,283523000000
Argentina,1999,male,35-54 years,545,4045105,283523000000
Argentina,1999,male,15-24 years,355,3279728,283523000000
Argentina,1999,male,25-34 years,265,2543861,283523000000
Argentina,1999,female,55-74 years,137,2727054,283523000000
Argentina,1999,female,75+ years,44,912898,283523000000
Argentina,1999,female,35-54 years,141,4200203,283523000000
Argentina,1999,female,15-24 years,11,3229424,283523000000
Argentina,1999,female,25-34 years,5,2559176,283523000000
Argentina,1999,male,5-14 years,21,3482230,283523000000
Argentina,1999,female,5-14 years,2,3377543,283523000000
Argentina,2000,male,75+ years,232,525161,284203750000
Argentina,2000,male,55-74 years,62,2333377,284203750000
Argentina,2000,male,35-54 years,578,4096814,284203750000
Argentina,2000,male,15-24 years,463,3306109,284203750000
Argentina,2000,male,25-34 years,331,2602314,284203750000
Argentina,2000,female,55-74 years,133,2760512,284203750000
Argentina,2000,female,75+ years,43,941957,284203750000
Argentina,2000,female,35-54 years,174,4253771,284203750000
Argentina,2000,female,15-24 years,116,3249247,284203750000
Argentina,2000,female,25-34 years,63,2617723,284203750000
Argentina,2000,female,5-14 years,21,3396135,284203750000
Argentina,2000,male,5-14 years,18,3502413,284203750000
Argentina,2001,male,75+ years,25,547473,268696750000
Argentina,2001,male,55-74 years,659,2358654,268696750000
Argentina,2001,male,15-24 years,518,3325440,268696750000
Argentina,2001,male,35-54 years,625,4145861,268696750000
Argentina,2001,male,25-34 years,375,2675285,268696750000
Argentina,2001,female,75+ years,57,978346,268696750000
Argentina,2001,female,15-24 years,166,3262682,268696750000
Argentina,2001,female,55-74 years,137,2788628,268696750000
Argentina,2001,female,35-54 years,21,4306817,268696750000
Argentina,2001,female,25-34 years,82,2690206,268696750000
Argentina,2001,male,5-14 years,29,3519935,268696750000
Argentina,2001,female,5-14 years,24,3411619,268696750000
Argentina,2002,male,75+ years,234,566447,97724004252
Argentina,2002,male,55-74 years,615,2387478,97724004252
Argentina,2002,male,15-24 years,542,3331708,97724004252
Argentina,2002,male,25-34 years,412,2758283,97724004252
Argentina,2002,male,35-54 years,619,4191889,97724004252
Argentina,2002,female,55-74 years,179,2819507,97724004252
Argentina,2002,female,75+ years,58,1012399,97724004252
Argentina,2002,female,15-24 years,158,3263542,97724004252
Argentina,2002,female,35-54 years,194,4355651,97724004252
Argentina,2002,female,25-34 years,91,2772560,97724004252
Argentina,2002,male,5-14 years,37,3529201,97724004252
Argentina,2002,female,5-14 years,23,3418842,97724004252
Argentina,2003,male,75+ years,272,581842,127586973492
Argentina,2003,male,55-74 years,577,2420864,127586973492
Argentina,2003,male,15-24 years,638,3331226,127586973492
Argentina,2003,male,25-34 years,456,2845955,127586973492
Argentina,2003,male,35-54 years,625,4237124,127586973492
Argentina,2003,female,75+ years,68,1044188,127586973492
Argentina,2003,female,15-24 years,179,3258029,127586973492
Argentina,2003,female,55-74 years,147,2854473,127586973492
Argentina,2003,female,35-54 years,196,4402438,127586973492
Argentina,2003,female,25-34 years,69,2859003,127586973492
Argentina,2003,male,5-14 years,37,3531507,127586973492
Argentina,2003,female,5-14 years,25,3419258,127586973492
Argentina,2004,male,75+ years,227,593409,164657930453
Argentina,2004,male,55-74 years,5,2459960,164657930453
Argentina,2004,male,15-24 years,653,3333328,164657930453
Argentina,2004,male,25-34 years,445,2930079,164657930453
Argentina,2004,male,35-54 years,599,4284709,164657930453
Argentina,2004,female,15-24 years,159,3255244,164657930453
Argentina,2004,female,55-74 years,136,2895423,164657930453
Argentina,2004,female,75+ years,5,1073648,164657930453
Argentina,2004,female,35-54 years,185,4450210,164657930453
Argentina,2004,female,25-34 years,99,2940630,164657930453
Argentina,2004,male,5-14 years,43,3530061,164657930453
Argentina,2004,female,5-14 years,25,3416244,164657930453
Argentina,2005,male,75+ years,225,601176,198737095012
Argentina,2005,male,55-74 years,489,2505136,198737095012
Argentina,2005,male,15-24 years,638,3343414,198737095012
Argentina,2005,male,25-34 years,451,3004991,198737095012
Argentina,2005,male,35-54 years,539,4336453,198737095012
Argentina,2005,female,55-74 years,161,2943135,198737095012
Argentina,2005,female,75+ years,59,1101024,198737095012
Argentina,2005,female,15-24 years,148,3260468,198737095012
Argentina,2005,female,35-54 years,171,4500787,198737095012
Argentina,2005,female,25-34 years,14,3011376,198737095012
Argentina,2005,male,5-14 years,52,3528848,198737095012
Argentina,2005,female,5-14 years,21,3413809,198737095012
Argentina,2006,male,75+ years,246,620010,232557260817
Argentina,2006,male,15-24 years,656,3357424,232557260817
Argentina,2006,male,55-74 years,487,2540712,232557260817
Argentina,2006,male,25-34 years,483,3068991,232557260817
Argentina,2006,male,35-54 years,585,4383730,232557260817
Argentina,2006,female,15-24 years,175,3271703,232557260817
Argentina,2006,female,55-74 years,115,2983954,232557260817
Argentina,2006,female,35-54 years,16,4549471,232557260817
Argentina,2006,female,25-34 years,15,3070419,232557260817
Argentina,2006,female,75+ years,31,1132977,232557260817
Argentina,2006,male,5-14 years,39,3527369,232557260817
Argentina,2006,female,5-14 years,26,3412126,232557260817
Argentina,2007,male,75+ years,225,634995,287530508431
Argentina,2007,male,15-24 years,577,3381171,287530508431
Argentina,2007,male,55-74 years,438,2582754,287530508431
Argentina,2007,male,25-34 years,49,3125322,287530508431
Argentina,2007,male,35-54 years,571,4436541,287530508431
Argentina,2007,female,15-24 years,146,3292790,287530508431
Argentina,2007,female,25-34 years,126,3120162,287530508431
Argentina,2007,female,55-74 years,18,3033008,287530508431
Argentina,2007,female,35-54 years,155,4601874,287530508431
Argentina,2007,female,75+ years,31,1161794,287530508431
Argentina,2007,male,5-14 years,45,3530454,287530508431
Argentina,2007,female,5-14 years,34,3414627,287530508431
Argentina,2008,male,75+ years,28,646185,361558037110
Argentina,2008,male,15-24 years,625,3410092,361558037110
Argentina,2008,male,55-74 years,463,2630686,361558037110
Argentina,2008,male,25-34 years,531,3172743,361558037110
Argentina,2008,male,35-54 years,582,4496672,361558037110
Argentina,2008,female,15-24 years,18,3319037,361558037110
Argentina,2008,female,35-54 years,173,4660022,361558037110
Argentina,2008,female,55-74 years,18,3088727,361558037110
Argentina,2008,female,75+ years,36,1188016,361558037110
Argentina,2008,female,25-34 years,94,3159967,361558037110
Argentina,2008,male,5-14 years,39,3539110,361558037110
Argentina,2008,female,5-14 years,2,3422263,361558037110
Argentina,2009,male,75+ years,177,653486,332976484578
Argentina,2009,male,15-24 years,69,3436265,332976484578
Argentina,2009,male,55-74 years,434,2683502,332976484578
Argentina,2009,male,25-34 years,54,3210244,332976484578
Argentina,2009,male,35-54 years,542,4566645,332976484578
Argentina,2009,female,15-24 years,164,3342385,332976484578
Argentina,2009,female,55-74 years,112,3148915,332976484578
Argentina,2009,female,25-34 years,15,3189773,332976484578
Argentina,2009,female,35-54 years,15,4726814,332976484578
Argentina,2009,female,75+ years,25,1211934,332976484578
Argentina,2009,male,5-14 years,34,3553154,332976484578
Argentina,2009,female,5-14 years,28,3434884,332976484578
Argentina,2010,male,75+ years,26,657096,423627422092
Argentina,2010,male,15-24 years,683,3455127,423627422092
Argentina,2010,male,25-34 years,485,3237957,423627422092
Argentina,2010,male,55-74 years,397,2740656,423627422092
Argentina,2010,male,35-54 years,573,4648068,423627422092
Argentina,2010,female,15-24 years,15,3358103,423627422092
Argentina,2010,female,35-54 years,162,4804030,423627422092
Argentina,2010,female,25-34 years,11,3210247,423627422092
Argentina,2010,female,55-74 years,99,3212253,423627422092
Argentina,2010,female,75+ years,34,1234182,423627422092
Argentina,2010,male,5-14 years,33,3570316,423627422092
Argentina,2010,female,5-14 years,2,3450419,423627422092
Argentina,2011,male,75+ years,178,674738,530163281575
Argentina,2011,male,15-24 years,693,3471151,530163281575
Argentina,2011,male,25-34 years,51,3258804,530163281575
